;time mandante;placar mandante;placar visitante;time visitante;rodada;lambda mandante;lambda visitante;erro média mandante;erro média visitante;erro moda mandante;erro moda visitante;frequência do erro;probabilidade placar;probabilidade máxima;nota do ranqueamento;partida;resultado;previsão;correto2
161;Vasco;1;0;Cruzeiro;36;1,0238;1,061;0,024;1,061;0;1;8;0,127291085;0,135055842;8;162;0;1;0
162;Goiás;1;2;Fortaleza;36;2,5161;1,8249;1,516;-0,175;1;-1;7;0,054563686;0,075230253;5;163;1;0;0
163;Atlético-MG;2;1;Corinthians;36;1,1248;1,1359;-0,875;0,136;-1;0;20;0,074929215;0,133231179;5;164;0;1;0
164;Grêmio;3;0;São Paulo;36;1,1783;0,7503;-1,822;0,75;-2;0;9;0,039631093;0,171267729;2;165;0;1;0
165;Palmeiras;1;3;Flamengo;36;1,1877;1,1664;0,188;-1,834;0;-2;8;0,029834956;0,131577499;0;166;1;1;1
166;Avaí;1;1;Fluminense;36;0,5712;1,2509;-0,429;0,251;-1;0;20;0,115526819;0,202252835;7;167;1;1;1
167;Santos;2;0;Chapecoense;36;2,4949;0,8457;0,495;0,846;0;0;24;0,110222979;0,110222979;10;168;0;0;1
168;CSA;1;2;Bahia;36;0,9126;1,3669;-0,087;-0,633;-1;-1;20;0,087246836;0,139882206;5;169;1;1;1
169;Ceará;1;1;Athlético-PR;36;1,0485;1,0138;0,049;0,014;0;0;24;0,135168412;0,135168412;10;170;1;1;1
170;São Paulo;2;1;Internacional;37;0,9885;0,558;-1,012;-0,442;-2;-1;12;0,058065896;0,212992143;5;171;0;1;0
171;Grêmio;2;0;Cruzeiro;37;1,9524;0,6331;-0,048;0,633;-1;0;20;0,143628035;0,147129723;9;172;0;0;1
172;Fluminense;0;0;Fortaleza;37;1,2997;1,1438;1,3;1,144;1;1;4;0,086856322;0,129120335;7;173;1;1;1
173;Ceará;0;1;Corinthians;37;1,2131;0,5958;1,213;-0,404;1;-1;7;0,097612449;0,198747335;6;174;1;0;0
174;Athlético-PR;1;0;Santos;37;1,0552;0,6077;0,055;0,608;0;0;24;0,200053654;0,200053654;10;175;0;1;0
175;Bahia;1;1;Vasco;37;1,0267;1,2115;0,027;0,212;0;0;24;0,132656664;0,132656664;10;176;1;1;1
176;Atlético-MG;2;0;Botafogo;37;1,5328;0,8201;-0,467;0,82;-1;0;20;0,111709344;0,145758539;8;177;0;0;1
177;Flamengo;6;1;Avaí;37;4,1202;0,4225;-1,88;-0,577;-2;-1;12;0,030558671;0,127818114;0;178;0;0;1
178;Palmeiras;5;1;Goiás;37;3,0833;0,7623;-1,917;-0,238;-2;-1;12;0,037835609;0,104417487;1;179;0;0;1
179;Chapecoense;3;0;CSA;37;0,8213;0,5931;-2,179;0,593;-3;0;1;0,022443372;0,243071413;2;180;0;1;0
180;Goiás;3;2;Grêmio;38;1,2617;2,0811;-1,738;0,081;-2;0;9;0,025616121;0,09655003;0;181;0;1;0
181;Internacional;2;1;Atlético-MG;38;1,3073;0,7624;-0,693;-0,238;-1;-1;20;0,08223262;0,165012169;5;182;0;1;0
182;Botafogo;1;1;Ceará;38;0,9691;0,6275;-0,031;-0,372;-1;-1;20;0,123193489;0,202584134;7;183;1;1;1
183;Cruzeiro;0;2;Palmeiras;38;0,5259;0,8808;0,526;-1,119;0;-2;8;0,095017274;0,244950287;6;184;1;1;1
184;CSA;1;2;São Paulo;38;0,7202;1,0326;-0,28;-0,967;-1;-1;20;0,066535894;0,178937248;5;185;1;1;1
185;Santos;4;0;Flamengo;38;1,2579;1,7388;-2,742;1,739;-3;1;1;0,005211023;0,109256045;0;186;0;1;0
186;Corinthians;1;2;Fluminense;38;1,5249;0,6009;0,525;-1,399;0;-2;8;0,032854326;0,181977693;2;187;1;0;0
187;Vasco;1;1;Chapecoense;38;1,1261;0,9064;0,126;-0,094;0;-1;20;0,133719062;0,14752765;9;188;1;1;1
188;Fortaleza;2;1;Bahia;38;1,3454;1,0537;-0,655;0,054;-1;0;20;0,086591236;0,128721921;6;189;0;1;0
189;Avaí;0;0;Athlético-PR;38;0,4489;2,1871;0,449;2,187;0;2;1;0,071647286;0,171359044;6;190;1;1;1
