;Unnamed: 0;Unnamed: 0.1;ano;date;round;home_team;away_team;placar_casa;placar_visitante;resultado;arena;mv38;me38;md38;mvc19;mec19;mdc19;vv38;ve38;vd38;vvf19;vef19;vdf19;mv6;me6;md6;mvc3;mec3;mdc3;vv6;ve6;vd6;vvf3;vef3;vdf3;mgm38;mgs38;mgmc19;mgsc19;vgm38;vgs38;vgmf19;vgsf19;mgm6;mgs6;mgmc3;mgsc3;vgm6;vgs6;vgmf3;vgsf3;model_prediction;resultado_0-1;correto
1502;1502;1882;2010;28/11/2010;37;Flamengo;Cruzeiro;1.0;2.0;1.0;Raulino de Oliveira;0.3793103448275862;0.8421052631578947;0.3928571428571429;0.3888888888888889;0.75;0.2307692307692308;0.7142857142857143;0.4736842105263158;0.01282051282051282;0.6923076923076923;0.3333333333333333;0.35294117647058826;0.16666666666666666;0.5;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.5;0.0;0.5;0.6666666666666666;0.0;0.3333333333333333;0.5301204819277109;0.5443037974683544;0.462962962962963;0.4736842105263158;0.632183908045977;0.4871794871794872;0.7027027027027027;0.4259259259259259;0.3684210526315789;0.4545454545454545;0.21428571428571427;0.25;0.42857142857142855;0.3809523809523809;0.25;0.07142857142857142;0.290654;1.0;0
1503;1503;1883;2010;28/11/2010;37;Botafogo;Barueri/Prudente;3.0;1.0;0.0;Engenhão;0.4827586206896552;0.8947368421052632;0.25;0.4444444444444444;0.8333333333333334;0.07692307692307693;0.25;0.5789473684210527;0.028490028490028487;0.15384615384615385;0.4166666666666667;0.7058823529411765;0.5;0.3333333333333333;0.16666666666666666;0.6666666666666666;0.0;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.5;0.3333333333333333;0.0;0.6666666666666666;0.6385542168674698;0.5189873417721519;0.5740740740740741;0.5;0.4597701149425287;0.7948717948717948;0.40540540540540543;0.7407407407407407;0.4736842105263158;0.2727272727272727;0.35714285714285715;0.3333333333333333;0.4761904761904762;0.4761904761904762;0.4166666666666667;0.42857142857142855;0.22424692;0.0;1
1504;1504;1884;2010;28/11/2010;37;Guarani;Grêmio;0.0;3.0;1.0;Brinco de Ouro;0.27586206896551724;0.6842105263157895;0.5357142857142857;0.3888888888888889;0.75;0.15384615384615385;0.5714285714285714;0.631578947368421;0.014245014245014244;0.38461538461538464;0.6666666666666666;0.35294117647058826;0.0;0.3333333333333333;0.6666666666666666;0.0;0.6666666666666666;0.3333333333333333;0.5;0.3333333333333333;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3975903614457832;0.620253164556962;0.35185185185185186;0.3157894736842105;0.7701149425287356;0.6025641025641025;0.6756756756756757;0.462962962962963;0.10526315789473684;0.2727272727272727;0.07142857142857142;0.16666666666666666;0.5714285714285714;0.2857142857142857;0.16666666666666666;0.14285714285714285;0.3280769;1.0;0
1505;1505;1885;2010;28/11/2010;37;Atlético-MG;Goiás;3.0;1.0;0.0;Arena do Jacaré;0.4137931034482759;0.3157894736842105;0.7142857142857143;0.4444444444444444;0.08333333333333333;0.7692307692307693;0.32142857142857145;0.4736842105263158;0.028490028490028487;0.2307692307692308;0.4166666666666667;0.6470588235294118;0.5;0.3333333333333333;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.6666666666666666;0.0;0.3333333333333333;0.6666666666666666;0.6024096385542169;0.8227848101265823;0.5555555555555556;0.8157894736842105;0.5172413793103449;0.8717948717948718;0.5945945945945946;0.7037037037037037;0.631578947368421;0.3636363636363637;0.42857142857142855;0.4166666666666667;0.2857142857142857;0.6666666666666666;0.3333333333333333;0.5714285714285714;0.28782648;0.0;1
1506;1;1;1;1;1;1;1;1.0;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9791834;1.0;1
1507;1;1;1;1;1;1;1;1.0;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9791834;1.0;1
1508;1;1;1;1;1;1;1;1.0;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9791834;1.0;1
1509;1509;1889;2010;28/11/2010;37;Avaí;Santos;3.0;2.0;0.0;Ressacada;0.3793103448275862;0.5789473684210527;0.5714285714285714;0.4444444444444444;0.5;0.38461538461538464;0.5357142857142857;0.5789473684210527;0.017094017094017092;0.38461538461538464;0.5833333333333334;0.4117647058823529;0.5;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.0;0.16666666666666666;0.6666666666666666;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.0;0.5903614457831325;0.7215189873417721;0.6111111111111112;0.5263157894736842;0.7356321839080459;0.6538461538461539;0.8378378378378378;0.6111111111111112;0.3684210526315789;0.3181818181818182;0.2857142857142857;0.0;0.4761904761904762;0.3809523809523809;0.5833333333333334;0.2857142857142857;0.35627812;0.0;1
1510;1510;1890;2010;05/12/2010;38;São Paulo;Atlético-MG;4.0;0.0;0.0;Morumbi;0.5172413793103449;0.5263157894736842;0.4642857142857143;0.5555555555555556;0.25;0.4615384615384616;0.4642857142857143;0.3157894736842105;0.027065527065527062;0.3076923076923077;0.4166666666666667;0.5882352941176471;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.6666666666666666;0.5;0.3333333333333333;0.16666666666666666;0.6666666666666666;0.3333333333333333;0.0;0.6506024096385542;0.6835443037974683;0.5740740740740741;0.7105263157894737;0.5977011494252874;0.8076923076923077;0.5405405405405406;0.6296296296296297;0.3684210526315789;0.4090909090909091;0.21428571428571427;0.5833333333333334;0.5238095238095238;0.2857142857142857;0.5;0.21428571428571427;0.2871629;0.0;1
1511;1;1;1;1;1;1;1;1.0;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9791834;1.0;1
1512;1512;1892;2010;05/12/2010;38;Vasco;Ceará;2.0;0.0;0.0;São Januário;0.3448275862068966;0.8421052631578947;0.42857142857142855;0.4444444444444444;0.75;0.15384615384615385;0.35714285714285715;0.8947368421052632;0.014245014245014244;0.07692307692307693;0.6666666666666666;0.5294117647058824;0.16666666666666666;0.16666666666666666;0.6666666666666666;0.3333333333333333;0.6666666666666666;0.0;0.0;0.8333333333333334;0.16666666666666666;0.0;0.6666666666666666;0.3333333333333333;0.4939759036144578;0.5949367088607594;0.5740740740740741;0.5789473684210527;0.4022988505747127;0.5384615384615384;0.35135135135135137;0.5555555555555556;0.3157894736842105;0.5454545454545454;0.2857142857142857;0.25;0.3809523809523809;0.5714285714285714;0.25;0.5;0.318484;0.0;1
1513;1513;1893;2010;05/12/2010;38;Fluminense;Guarani;1.0;0.0;0.0;Engenhão;0.6551724137931034;0.631578947368421;0.25;0.6666666666666666;0.4166666666666667;0.15384615384615385;0.2857142857142857;0.6842105263157895;0.02279202279202279;0.07692307692307693;0.3333333333333333;0.7647058823529411;0.6666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0;0.0;1.0;0.7469879518072289;0.4683544303797468;0.6296296296296297;0.3947368421052632;0.3793103448275862;0.6666666666666666;0.4324324324324325;0.6851851851851852;0.5263157894736842;0.13636363636363635;0.2857142857142857;0.08333333333333333;0.09523809523809523;0.3809523809523809;0.08333333333333333;0.2857142857142857;0.21478376;0.0;1
1514;1514;1894;2010;05/12/2010;38;Cruzeiro;Palmeiras;2.0;1.0;0.0;Arena do Jacaré;0.6896551724137931;0.4736842105263158;0.32142857142857145;0.6111111111111112;0.4166666666666667;0.2307692307692308;0.42857142857142855;0.7368421052631579;0.017094017094017092;0.3076923076923077;0.75;0.35294117647058826;0.6666666666666666;0.0;0.3333333333333333;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.0;0.0;1.0;0.6385542168674698;0.4810126582278481;0.5370370370370371;0.3947368421052632;0.4827586206896552;0.5512820512820513;0.4324324324324325;0.3703703703703704;0.42105263157894735;0.2272727272727273;0.42857142857142855;0.5833333333333334;0.2380952380952381;0.4761904761904762;0.0;0.35714285714285715;0.2328412;0.0;1
1515;1515;1895;2010;05/12/2010;38;Grêmio;Botafogo;3.0;0.0;0.0;Olímpico Monumental;0.5517241379310345;0.631578947368421;0.35714285714285715;0.6111111111111112;0.3333333333333333;0.3076923076923077;0.5357142857142857;0.8947368421052632;0.008547008547008546;0.4615384615384616;0.5833333333333334;0.35294117647058826;0.6666666666666666;0.16666666666666666;0.16666666666666666;0.6666666666666666;0.3333333333333333;0.0;0.5;0.3333333333333333;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.0;0.7951807228915663;0.569620253164557;0.7777777777777778;0.5789473684210527;0.6436781609195402;0.5128205128205128;0.5945945945945946;0.4074074074074074;0.6842105263157895;0.18181818181818185;0.7142857142857143;0.3333333333333333;0.5238095238095238;0.3333333333333333;0.3333333333333333;0.14285714285714285;0.29238117;0.0;1
1516;1;1;1;1;1;1;1;1.0;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9791834;1.0;1
1517;1;1;1;1;1;1;1;1.0;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9791834;1.0;1
